"artists","keyword","playlist_id","playlist_name","playlist_owner","popularity","track_id","track_name"
[u'Anni B Sweet'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,43,4us797S21MRsPAnMiMbEog,Motorway
[u'Anni B Sweet'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,34,1zO3zI12pMW3bf0ILTM2Ho,At Home
[u'Anni B Sweet'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,39,1QkFHn4JTA6VCTmXbWyBFd,Getting Older
[u'Love of Lesbian'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,43,5Dt11N4m3SUd7d76n5MqcM,2009. Voy a romper las ventanas
[u'The Stone Roses'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,29,5KgyXw8Z68bvJNegR9Yh4a,This Is The One - Demo Remastered
[u'The Stone Roses'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,17,0276lJ2JyMtPmAP8bCdhQN,This Is The One - Remastered
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,55,3dYc2dNWwWUqYqaiHgVhxS,Maldita Dulzura
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,52,1spx7pPpe3AGG2gIrsMbVm,La Deriva
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,51,4oqoEYKWtIcH2ajYm2qQZt,Golpe Maestro
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,43,4jERm2IPV8jHeSOdz6Q0wn,La Mosca en Tu Pared
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,55,0bjDH2N2RVWAJAzwpPHUpG,Fuego
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,3pgWe0vwB9i12K2G5o26zu,Fiesta Mayor
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,49,351VtQ6mbLB25C2KmbfbXz,¡Alto!
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,40,1HnmpTUL5TEGLDQ3Se2p5T,La Grieta
